n,Serial Time (s),Parallel Time (s),Speedup,Efficiency
5,7.32e-07,0.00509372,0.000143706,2.39511e-05
6,7.5e-08,0.000114016,0.000657802,0.000109634
7,5.7e-08,1.7169e-05,0.00331994,0.000553323
8,7.4e-08,2.2876e-05,0.00323483,0.000539139
9,6.7e-08,1.1201e-05,0.00598161,0.000996935
10,5.9e-08,2.8923e-05,0.0020399,0.000339983
11,5.9e-08,1.2529e-05,0.00470907,0.000784846
12,6.6e-08,1.5708e-05,0.00420168,0.00070028
13,6.9e-08,1.3555e-05,0.00509037,0.000848395
14,7.2e-08,1.8121e-05,0.00397329,0.000662215
15,7.5e-08,1.5896e-05,0.00471817,0.000786361
16,8e-08,1.8317e-05,0.00436753,0.000727921
17,8e-08,2.1204e-05,0.00377287,0.000628812
18,1e-07,2.7292e-05,0.00366408,0.00061068
19,9.4e-08,2.1746e-05,0.00432263,0.000720439
20,1.03e-07,2.1543e-05,0.00478114,0.000796856
